45899,108294
7713,61984
9829,56641
7552,47983
12389,37189
3462,36068
9299,24460
4134,24045
8452,23892
18403,18214
24560,14768
18209,13887
9121,12911
55836,11680
9498,11432
23969,10522
58224,10173
45758,9981
8048,9593
24309,9311
17557,8296
45820,6926
24757,6724
9198,6659
47331,6577
24186,6465
8151,6366
18881,5904
7018,5486
4755,5447
14061,5424
131090,5365
8402,5223
38264,5166
5384,5139
9583,4905
6697,4537
3352,4294
9260,4290
25019,4115
4800,4024
3269,4009
4812,3960
45458,3950
2561,3775
12714,3694
15706,3662
9931,3470
45769,3370
8369,3298
133676,3298
3216,3278
24739,3272
9905,3182
8732,3119
45916,3094
132148,3070
17451,3062
34984,3035
25513,3035
27699,3006
45775,2989
17762,2968
17665,2930
45117,2903
24323,2842
37705,2805
7738,2794
31133,2788
11426,2756
25490,2740
3758,2531
200740,2491
202425,2477
2516,2474
23956,2467
9927,2441
133481,2427
28279,2403
9318,2365
55577,2352
15895,2298
3549,2292
9484,2284
8551,2265
6147,2126
24955,2116
17639,2051
12479,2048
132280,2042
17483,2025
135247,1993
42337,1987
9304,1979
23674,1976
31376,1975
31213,1974
21479,1954
29465,1928
28142,1885
48642,1874
15377,1872
17426,1866
60651,1848
42610,1834
14178,1784
24342,1756
701,1747
28840,1745
10429,1734
39891,1729
262191,1725
45903,1722
28787,1701
45326,1697
6849,1691
47165,1669
6821,1623
41360,1602
24835,1596
133301,1596
4230,1581
37100,1569
12578,1557
37693,1554
15399,1552
45609,1545
63949,1544
7922,1539
39501,1535
7482,1535
138754,1534
133661,1517
45433,1504
37219,1496
30722,1491
31163,1488
23953,1431
18002,1429
12430,1427
45528,1423
45773,1408
43754,1396
28573,1394
45543,1383
12975,1382
27651,1378
25227,1362
45325,1359
17995,1340
131111,1333
20052,1323
31200,1323
35805,1318
7303,1314
9341,1311
262838,1311
5523,1310
28006,1305
23888,1301
36947,1276
202136,1263
52182,1263
134762,1252
18001,1252
9658,1243
8359,1233
24863,1220
11845,1220
132497,1211
4808,1210
17813,1202
17488,1197
8393,1189
132453,1189
23243,1188
58898,1188
37061,1180
13489,1175
135661,1175
28548,1152
12322,1150
212238,1144
134585,1143
132639,1138
10075,1125
36992,1116
2609,1113
34797,1093
131293,1090
55769,1078
132774,1077
37963,1075
8167,1073
7590,1072
7545,1067
133964,1067
4787,1062
12735,1052
208677,1045
47626,1044
133235,1037
59833,1031
8386,1026
5416,1026
8331,1019
14080,1018
6429,1016
21299,1016
4750,1012
8926,1005
14754,997
22884,992
9038,992
133001,983
41798,975
37211,964
200788,959
134319,955
8345,945
39529,943
34296,939
30404,931
4775,929
31208,923
28198,921
264417,919
44244,915
48327,909
10474,904
41096,897
20485,896
12874,880
9924,872
20845,867
21599,861
25159,853
53066,852
7029,851
31252,848
9155,845
33885,843
45194,830
23923,829
7470,822
3786,819
12730,814
19180,813
33934,806
16322,806
22689,804
58812,795
5391,794
203214,792
135407,790
4761,788
17222,787
44395,786
199096,773
58094,773
19429,772
45804,769
59661,768
16010,767
17469,756
51695,755
9009,752
131269,750
55441,748
53162,748
36914,747
9541,745
29091,743
49628,740
263345,740
15311,736
12876,735
8449,734
28745,733
20473,732
207369,730
267882,727
263046,725
49129,724
199731,723
8517,722
1547,719
35819,711
37308,711
21859,708
6503,704
38511,704
8014,704
36873,690
34525,675
136336,673
9329,673
43793,672
12315,657
24088,652
4713,651
137226,648
33363,644
209332,643
45536,642
16814,635
24086,633
16276,633
49724,631
3326,620
9930,614
8376,602
263507,600
38625,596
44327,588
138476,584
28812,582
29497,577
12400,577
135523,576
132199,575
38193,573
13178,573
55479,569
18747,568
42478,568
37492,566
53158,564
263573,559
51074,556
37611,556
131210,556
9006,554
41556,552
55644,550
57334,550
24848,548
137085,542
7602,542
28186,541
11556,540
131410,539
37204,533
35104,528
6703,526
38592,520
44217,519
55666,519
4837,518
48822,514
133648,513
19037,512
133524,512
263905,510
6412,510
263993,509
58678,507
46026,504
28666,500
136637,499
134768,494
56268,492
28226,491
42109,491
56463,491
23966,490
